time_min,episode,macro_updates,micro_updates,best_macro_fitness,best_micro_fitness,avg_reward,macro_width,macro_depth,micro_width,micro_depth,phase,phase_generation
36.64819074869156,33,4,33,24922.168902695408,24001.95768240545,24001.95768240545,51,3,85,5,Avançado,8
37.78448039690654,34,4,34,24922.168902695408,21777.427455490924,21777.427455490924,51,3,85,5,Avançado,9
38.970123747984566,35,4,35,24922.168902695408,22284.05601482011,22284.05601482011,51,3,85,5,Avançado,10
40.23694238265355,36,4,36,24922.168902695408,21966.81240980896,21966.81240980896,51,3,85,3,Avançado,11
41.953565045197806,37,4,37,24922.168902695408,25883.08067440905,25883.08067440905,51,3,85,3,Avançado,12
43.4276452978452,38,4,38,24922.168902695408,21675.885330740362,21675.885330740362,51,3,85,3,Avançado,13
44.78980606396993,39,4,39,24922.168902695408,25651.425203990115,25651.425203990115,51,3,85,3,Avançado,14
46.145430862903595,40,4,40,24922.168902695408,24588.461290065814,24588.461290065814,51,3,85,4,Avançado,15
47.60363204479218,41,5,41,24922.168902695408,24372.337646366235,24372.337646366235,51,3,85,4,Avançado,16
48.89126146237056,42,5,42,25296.299139740382,21756.64057070358,21756.64057070358,51,4,85,4,Avançado,17
50.12627721230189,43,5,43,25296.299139740382,22376.091454993984,22376.091454993984,51,4,85,4,Avançado,18
51.468975667158766,44,5,44,25296.299139740382,22941.01179455727,22941.01179455727,51,4,85,4,Avançado,19
52.674320864677426,45,5,45,23363.727958361178,23511.58209599669,23511.58209599669,51,4,85,4,Expert,0
53.820438083012895,46,5,46,25296.299139740382,22707.35698317454,22707.35698317454,51,4,85,4,Expert,1
54.99619936148326,47,5,47,25296.299139740382,22464.75957550219,22464.75957550219,51,4,85,4,Expert,2
56.10433206558228,48,5,48,25296.299139740382,21286.577043131358,21286.577043131358,51,4,85,5,Expert,3
57.2666977485021,49,5,49,25296.299139740382,25686.265999053903,25686.265999053903,51,4,85,4,Expert,4
58.41607271432876,50,5,50,25296.299139740382,25022.35257545551,25022.35257545551,51,4,85,5,Expert,5
59.62556500037511,51,6,51,25296.299139740382,26811.950126416676,26811.950126416676,51,3,85,5,Expert,6
60.80669641097386,52,6,52,24739.98103472495,23017.413373419982,23017.413373419982,51,3,85,4,Expert,7
61.986978928248085,53,6,53,24739.98103472495,23814.657677552186,23814.657677552186,51,3,85,4,Expert,8
63.16312874952952,54,6,54,24739.98103472495,21364.09082637519,21364.09082637519,51,3,85,4,Expert,9
64.53051698207855,55,6,55,24739.98103472495,23979.137192381004,23979.137192381004,51,3,85,4,Expert,10
65.77860369682313,56,6,56,24739.98103472495,22389.943233030972,22389.943233030972,51,3,85,4,Expert,11
66.98481593132018,57,6,57,24739.98103472495,25428.609772791424,25428.609772791424,51,3,85,4,Expert,12
68.21043359835943,58,6,58,24739.98103472495,25745.161797625577,25745.161797625577,51,3,85,4,Expert,13
69.40766086181004,59,6,59,24739.98103472495,28891.516617720965,28891.516617720965,51,3,85,4,Expert,14
70.66836913029353,60,6,60,24739.98103472495,27436.667900259974,27436.667900259974,51,3,85,4,Expert,15
71.86383009354273,61,7,61,24739.98103472495,27013.31983991478,27013.31983991478,51,3,85,4,Expert,16
73.0421296954155,62,7,62,24718.055588366908,32094.584686731163,32094.584686731163,51,3,85,4,Expert,17
74.19655357996622,63,7,63,24718.055588366908,28591.412893234934,28591.412893234934,51,3,85,4,Expert,18
75.37957461675008,64,7,64,24718.055588366908,30728.969494975576,30728.969494975576,51,3,85,4,Expert,19
76.49825314680736,65,7,65,24718.055588366908,28111.09777698533,28111.09777698533,51,3,85,4,Expert,20
77.73503486712774,66,7,66,24718.055588366908,30759.734111248086,30759.734111248086,51,3,85,4,Expert,21
78.8641824444135,67,7,67,24718.055588366908,29508.43311947671,29508.43311947671,51,3,85,3,Expert,22
79.9806917309761,68,7,68,24718.055588366908,31943.21528808453,31943.21528808453,51,3,85,5,Expert,23
